precipitation,no_precipitation,wind_power,output
0,1,0,1
0,1,2,1
0,1,5,1
0,1,10,1
0,1,12,1
0,1,15,1
0,1,18,1
0,1,20,1
0,1,23,1
0,1,25,1
0,1,28,1
0,1,30,1
0,1,32,1
0,1,33,1
0,1,34,1
0,1,35,1
0,1,37,1
0,1,38,1
0,1,39,1
0,1,40,1
0,1,41,0
0,1,43,0
0,1,45,0
0,1,46,0
0,1,47,0
0,1,49,0
0,1,51,0
0,1,55,0
0,1,57,0
0,1,58,0
0,1,59,0
0,1,60,1
0,1,61,1
0,1,62,1
0,1,63,0
0,1,65,0
0,1,68,0
0,1,69,0
0,1,72,0
0,1,74,0
0,1,76,0
0,1,80,0
0,1,82,0
0,1,85,0
0,1,87,0
0,1,90,0
0,1,93,0
0,1,95,0
0,1,100,0
1,0,1,0
1,0,2,0
1,0,5,0
1,0,10,0
1,0,12,0
1,0,15,0
1,0,18,0
1,0,20,0
1,0,23,0
1,0,25,0
1,0,28,0
1,0,30,0
1,0,33,0
1,0,35,0
1,0,38,0
1,0,40,0
1,0,41,0
1,0,42,0
1,0,45,0
1,0,46,0
1,0,47,0
1,0,48,0
1,0,49,0
1,0,50,0
1,0,51,0
1,0,53,0
1,0,54,0
1,0,55,0
1,0,58,0
1,0,60,0
1,0,63,0
1,0,67,0
1,0,70,0
1,0,74,0
1,0,75,0
1,0,76,0
1,0,77,0
1,0,78,0
1,0,79,0
1,0,80,0
1,0,81,0
1,0,83,0
1,0,84,0
1,0,85,0
1,0,86,0
1,0,88,0
1,0,90,0
1,0,91,0
1,0,93,0
1,0,95,0
1,0,100,0
